Total Number of words = 278
Sort by word probablility
word, log(order), log(prob)
the, 0.0000000000000000, -2.9885637841
it, 0.6931471805599453, -3.1427144639
to, 1.0986122886681098, -3.3250360207
she, 1.3862943611198906, -3.5481795720
of, 1.6094379124341003, -3.5481795720
her, 1.7917594692280550, -3.5481795720
and, 1.9459101490553132, -3.5481795720
a, 2.0794415416798357, -3.5481795720
was, 2.1972245773362196, -3.8358616445
in, 2.3025850929940459, -3.8358616445
alice, 2.3978952727983707, -4.0181832013
rabbit, 2.4849066497880004, -4.0181832013
very, 2.5649493574615367, -4.2413267526
out, 2.6390573296152584, -4.2413267526
or, 2.7080502011022101, -4.2413267526
had, 2.7725887222397811, -4.5290088250
that, 2.8332133440562162, -4.5290088250
but, 2.8903717578961645, -4.5290088250
with, 2.9444389791664403, -4.5290088250
at, 2.9957322735539909, -4.5290088250
when, 3.0445224377234230, -4.5290088250
so, 3.0910424533583161, -4.5290088250
conversations, 3.1354942159291497, -4.9344739331
watch, 3.1780538303479458, -4.9344739331
pocket, 3.2188758248682006, -4.9344739331
down, 3.2580965380214821, -4.9344739331
dear, 3.2958368660043291, -4.9344739331
for, 3.3322045101752038, -4.9344739331
pictures, 3.3672958299864741, -4.9344739331
across, 3.4011973816621555, -4.9344739331
be, 3.4339872044851463, -4.9344739331
never, 3.4657359027997265, -4.9344739331
by, 3.4965075614664802, -4.9344739331
on, 3.5263605246161616, -4.9344739331
sister, 3.5553480614894135, -4.9344739331
considering, 3.5835189384561099, -4.9344739331
waistcoat, 3.6109179126442243, -4.9344739331
oh, 3.6375861597263857, -4.9344739331
ran, 3.6635616461296463, -4.9344739331
mind, 3.6888794541139363, -4.9344739331
as, 3.7135720667043080, -4.9344739331
get, 3.7376696182833684, -4.9344739331
book, 3.7612001156935624, -4.9344739331
after, 3.7841896339182610, -4.9344739331
nothing, 3.8066624897703196, -4.9344739331
thought, 3.8286413964890951, -4.9344739331
time, 3.8501476017100584, -4.9344739331
once, 3.8712010109078911, -4.9344739331
all, 3.8918202981106265, -5.6276211137
chain, 3.9120230054281460, -5.6276211137
hedge, 3.9318256327243257, -5.6276211137
over, 3.9512437185814275, -5.6276211137
sleepy, 3.9702919135521220, -5.6276211137
its, 3.9889840465642745, -5.6276211137
seemed, 4.0073331852324712, -5.6276211137
remarkable, 4.0253516907351496, -5.6276211137
how, 4.0430512678345503, -5.6276211137
actually, 4.0604430105464191, -5.6276211137
late, 4.0775374439057197, -5.6276211137
bank, 4.0943445622221004, -5.6276211137
under, 4.1108738641733114, -5.6276211137
worth, 4.1271343850450917, -5.6276211137
ought, 4.1431347263915326, -5.6276211137
do, 4.1588830833596715, -5.6276211137
sitting, 4.1743872698956368, -5.6276211137
world, 4.1896547420264252, -5.6276211137
trouble, 4.2046926193909657, -5.6276211137
day, 4.2195077051761070, -5.6276211137
nor, 4.2341065045972597, -5.6276211137
did, 4.2484952420493594, -5.6276211137
large, 4.2626798770413155, -5.6276211137
twice, 4.2766661190160553, -5.6276211137
stupid, 4.2904594411483910, -5.6276211137
went, 4.3040650932041702, -5.6276211137
suddenly, 4.3174881135363101, -5.6276211137
just, 4.3307333402863311, -5.6276211137
tired, 4.3438054218536841, -5.6276211137
hurried, 4.3567088266895917, -5.6276211137
see, 4.3694478524670215, -5.6276211137
close, 4.3820266346738812, -5.6276211137
what, 4.3944491546724391, -5.6276211137
reading, 4.4067192472642533, -5.6276211137
either, 4.4188406077965983, -5.6276211137
quite, 4.4308167988433134, -5.6276211137
picking, 4.4426512564903167, -5.6276211137
beginning, 4.4543472962535073, -5.6276211137
would, 4.4659081186545837, -5.6276211137
getting, 4.4773368144782069, -5.6276211137
could, 4.4886363697321396, -5.6276211137
daisy, 4.4998096703302650, -5.6276211137
daisies, 4.5108595065168497, -5.6276211137
this, 4.5217885770490405, -5.6276211137
own, 4.5325994931532563, -5.6276211137
afterwards, 4.5432947822700038, -5.6276211137
burning, 4.5538768916005408, -5.6276211137
feel, 4.5643481914678361, -5.6276211137
into, 4.5747109785033828, -5.6276211137
pop, 4.5849674786705723, -5.6276211137
feet, 4.5951198501345898, -5.6276211137
another, 4.6051701859880918, -5.6276211137
use, 4.6151205168412597, -5.6276211137
there, 4.6249728132842707, -5.6276211137
much, 4.6347289882296359, -5.6276211137
way, 4.6443908991413725, -5.6276211137
white, 4.6539603501575231, -5.6276211137
eyes, 4.6634390941120669, -5.6276211137
started, 4.6728288344619058, -5.6276211137
occurred, 4.6821312271242199, -5.6276211137
hear, 4.6913478822291435, -5.6276211137
hole, 4.7004803657924166, -5.6276211137
peeped, 4.7095302013123339, -5.6276211137
again, 4.7184988712950942, -5.6276211137
made, 4.7273878187123408, -5.6276211137
whether, 4.7361984483944957, -5.6276211137
up, 4.7449321283632502, -5.6276211137
flashed, 4.7535901911063645, -5.6276211137
making, 4.7621739347977563, -5.6276211137
say, 4.7706846244656651, -5.6276211137
then, 4.7791234931115296, -5.6276211137
is, 4.7874917427820458, -5.6276211137
itself, 4.7957905455967413, -5.6276211137
have, 4.8040210447332568, -5.6276211137
seen, 4.8121843553724171, -5.6276211137
pink, 4.8202815656050371, -5.6276211137
looked, 4.8283137373023015, -5.6276211137
no, 4.8362819069514780, -5.6276211137
fortunately, 4.8441870864585912, -5.6276211137
field, 4.8520302639196169, -5.6276211137
hot, 4.8598124043616719, -5.6276211137
take, 4.8675344504555822, -5.6276211137
before, 4.8751973232011512, -5.6276211137
shall, 4.8828019225863706, -5.6276211137
took, 4.8903491282217537, -5.6276211137
moment, 4.8978397999509111, -5.6276211137
curiosity, 4.9052747784384296, -5.6276211137
natural, 4.9126548857360524, -5.6276211137
wondered, 4.9199809258281251, -5.6276211137
i, 4.9272536851572051, -5.6276211137
well, 4.9344739331306915, -5.6276211137
think, 4.9416424226093039, -5.6276211137
without, 4.9487598903781684, -5.6276211137
pleasure, 4.9558270576012609, -5.6276211137
having, 4.9628446302599070, -5.6276211137
